,dialogflow.user_text,rasa.action,dialogflow.action,dialogflow.previous_user_text
223,salut,reset,works_by_years,hi
223,salut,reset,works_by_years,hi
223,salut,reset,works_by_years,hi
223,salut,reset,works_by_years,hi
223,salut,reset,works_by_years,hi
