timestamp,platform,user,channel,intent,confidence,lang,rawMessage,cleanMessage,response
2018-9-11 12:11:00,socket,19f7c8d2-c499-91ff-328b-554b4c1d7b86,socket,hello,1,en,"hello","hello","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-11 12:11:19,socket,19f7c8d2-c499-91ff-328b-554b4c1d7b86,socket,discover-artist,1,en,"Tell me about mozart","Tell me about Mozart",<result_card>
2018-9-11 12:31:09,socket,f0a03f59-ab2d-a923-40ca-672565e7b242,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-12 13:13:03,socket,fd3c1ba7-8a86-814d-2fab-3bc005085d0d,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-12 14:13:56,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-12 14:14:15,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,hello,1,fr,"bonjour","bonjour","Salut! Je suis DOREMUS Bot! Tous les jours j'essaie d'apprendre informations sur la musique classique!"
2018-9-12 14:14:15,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,hello,1,en,"hello","hello","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-12 14:14:24,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,hello,1,fr,"bonjour","bonjour","Salut! Je suis DOREMUS Bot! Tous les jours j'essaie d'apprendre informations sur la musique classique!"
2018-9-12 14:14:43,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,works-by,1,fr,"donne-moi une oeuvre de mozart","donne-moi une œuvre de Mozart","Tu n'as spécifié pas beaucoup de filtres! Veux-tu ajouter quelque chose?"
2018-9-12 14:14:51,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,works-by-something,0.75,fr,"opéra","opéra","Ok! Est-ce que tu veux ajouter quelque chose?"
2018-9-12 14:14:55,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,works-by - no,1,fr,"non","non",<result_card>
2018-9-12 14:15:16,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,works-by,0.800000011920929,fr,"donne-moi un évènement à paris en octobre","donne-moi un évènement à paris en octobre",<result_card>
2018-9-12 14:15:55,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,hello,1,en,"hello","hello","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-12 14:16:11,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,works-by,0.6100000143051147,en,"give me a work of moart","give me a work of mart","No problem! Do you want to add some filters? Like the artist instruments, genre or composition period."
2018-9-12 14:16:28,socket,7c741f46-3c68-db51-8662-0c6a75082075,socket,works-by - no,1,en,"non","non",<result_card>
2018-9-25 14:05:20,google_assistant,-,-,find-performance,1,en,"Propose me an event for next month","Propose me an event for next month","Sorry... I didn't find anything!"
2018-9-25 14:05:37,google_assistant,-,-,find-performance,1,en,"Propose me an event for next year","Propose me an event for next year","Sorry... I didn't find anything!"
2018-9-25 14:06:19,google_assistant,-,-,works-by,0.9100000262260437,en,"Tell me two works by Mozart for clarinet","Tell me two works by Mozart for clarinet","Yes! I tell you some titles. ...Quintettes. Piano vents. Si bémol majeur. KV 452a. Divertimentos. "
2018-9-25 14:06:56,google_assistant,-,-,works-by,0.9100000262260437,en,"Tell me two works by Mozart for clarinet","Tell me two works by Mozart for clarinet","Yes! I tell you some titles. ...Quintettes. Piano vents. Si bémol majeur. KV 452a. Divertimentos. "
2018-9-25 14:08:46,google_assistant,-,-,find-performance,1,en,"This week","This week","Sorry... I didn't find anything!"
2018-9-25 14:10:15,google_assistant,-,-,works-by,1,en,"Give me two works by Mozart for clarinet","Give me two works by Mozart for clarinet","Yes! I tell you some titles. ...Quintettes. Piano vents. Si bémol majeur. KV 452a. Divertimentos. "
2018-9-25 14:19:39,google_assistant,-,-,find-performance,1,en,"this week","this week","Sorry... I didn't find anything!"
2018-9-25 14:20:15,google_assistant,-,-,find-performance,1,en,"Propose me an event this month","Propose me an event this month","Sorry... I didn't find anything!"
2018-9-25 14:24:40,google_assistant,-,-,find-performance,1,en,"this year","this year","Sorry... I didn't find anything!"
2018-9-25 14:24:49,google_assistant,-,-,find-performance,1,en,"this decade","this decade","Sorry... I didn't find anything!"
2018-9-25 14:25:03,google_assistant,-,-,find-performance,1,en,"next year","next year","Sorry... I didn't find anything!"
2018-9-25 15:34:29,socket,3f6a2d59-ea9f-2449-8047-4c830221fc31,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-25 15:44:08,socket,3485cc53-dee1-fdca-7e92-52b45f37b075,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-25 16:09:50,google_assistant,-,-,works-by,0.9100000262260437,en,"Tell me two works by Mozart for clarinet","Tell me two works by Mozart for clarinet","Yes! I tell you some titles. ...Quintettes. Piano vents. Si bémol majeur. KV 452a. Divertimentos. "
2018-9-25 16:42:29,google_assistant,-,-,works-by,0.9100000262260437,en,"Tell me two works by Mozart for clarinet","Tell me two works by Mozart for clarinet","Yes! I tell you some titles. ...Quintettes. Piano vents. Si bémol majeur. KV 452a. Divertimentos. "
2018-9-25 16:43:23,google_assistant,-,-,find-performance,1,en,"this month","this month","Sorry... I didn't find anything!"
2018-9-25 16:45:41,socket,3485cc53-dee1-fdca-7e92-52b45f37b075,socket,hello,1,en,"hi","hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-25 17:52:52,google_assistant,-,-,works-by,1,en,"Give me two works by Mozart for clarinet","Give me two works by Mozart for clarinet","Yes! I tell you some titles. ...Quintettes. Piano vents. Si bémol majeur. KV 452a. Divertimentos. "
2018-9-26 08:12:43,socket,c2f6760b-dc10-0131-c58d-57bfe19f9abf,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-26 08:12:43,socket,c2f6760b-dc10-0131-c58d-57bfe19f9abf,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-26 08:12:43,socket,c2f6760b-dc10-0131-c58d-57bfe19f9abf,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-26 08:12:57,socket,c2f6760b-dc10-0131-c58d-57bfe19f9abf,socket,hello,1,en,"hello","hello","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-27 07:53:35,socket,aba0fa80-81a2-4f7b-0c10-d4a3c77dd5f5,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-27 07:53:38,socket,aba0fa80-81a2-4f7b-0c10-d4a3c77dd5f5,socket,hello,1,en,"hello","hello","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-9-27 13:24:25,socket,c9a5f127-79de-c74a-b281-fb50ffde9fe3,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
