timestamp,platform,user,channel,intent,confidence,lang,rawMessage,cleanMessage,response
2018-6-26 12:43:18,socket,43a02d8c-15e4-1a82-a13f-765ce15024bb,socket,works-by-something,1,fr,"Symphonie","Symphonie","Ok! Est-ce que tu veux ajouter quelque chose?"
2018-6-26 12:43:23,socket,43a02d8c-15e4-1a82-a13f-765ce15024bb,socket,works-by - no,1,fr,"Non","Non",<result_card>
2018-6-26 12:44:30,fb,1978551662217032,1978551662217032,discover-artist,1,en,"Talk me about Vivaldi","Talk me about Vivaldi",<result_card>
2018-6-26 12:45:13,fb,1978551662217032,1978551662217032,discover-artist,1,en,"Tell me about Vivaldi","Tell me about Vivaldi",<result_card>
2018-6-26 12:46:27,socket,4b2e33e5-7a17-4bb1-eb96-23b60aa015f8,socket,hello,1,en,"Hi","Hi","Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!"
2018-6-26 13:02:07,google_assistant,-,-,works-by,1,en,"give me 3 works by mozart","give me 3 works by mozart","Uhm... sure! Do you want to add some filters? Like the artist instruments, genre or composition period."
2018-6-26 13:02:44,google_assistant,-,-,works-by,1,en,"no","no","Yes! I tell you some titles. ...Sonates. Sonatensatz. Sonates. Violon piano. La majeur. KV 526a. "
2018-6-26 13:22:33,google_assistant,-,-,works-by,0.6000000238418579,en,"give me two words from mother","give me two words from mother","Uhm... sure! Do you want to add some filters? Like the artist instruments, genre or composition period."
2018-6-26 13:23:27,google_assistant,-,-,works-by,1,en,"no","no","Yes! I tell you some titles. ...Suites. Fremde sind wir. "
2018-6-26 13:26:46,google_assistant,-,-,works-by,0.6000000238418579,en,"give me two words from mother","give me two words from mother","Uhm... sure! Do you want to add some filters? Like the artist instruments, genre or composition period."
2018-6-26 13:31:38,google_assistant,-,-,works-by,1,en,"Give me two works from Vivaldi","Give me two works from Vivaldi","Uhm... sure! Do you want to add some filters? Like the artist instruments, genre or composition period."
2018-6-26 13:31:50,google_assistant,-,-,works-by,1,en,"No","No","Yes! I tell you some titles. ...Concertos. Concertos. "
2018-6-26 13:32:33,slack,U9Q3FND6E,D9ZCG8VCM,works-by,1,en,"Give me two works from Vivaldi","Give me two works from Vivaldi","Ok! Do you want to add some filters? Like the artist instruments, genre or composition period."
2018-6-26 13:32:37,slack,U9Q3FND6E,D9ZCG8VCM,works-by - no,1,en,"No thanks","No thanks",<result_card>
2018-6-26 13:33:40,google_assistant,-,-,works-by,1,en,"Give me two works from Vivaldi","Give me two works from Vivaldi","Uhm... sure! Do you want to add some filters? Like the artist instruments, genre or composition period."
2018-6-26 13:33:52,google_assistant,-,-,find-performance,0.8399999737739563,en,"Are there any events in Paris this week?","Are there any events in Paris this week?","Yes! ...Le Monstre du labyrinthe at Philharmonie de Paris. "
